Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,wWOBA Change
Agustin Ramirez MIA,R,0.005942089,-0.098458418,0.05901758,0.141344364,-0.014733195,0.016979717,9.682974341,0.013570141,0.131637736,0.127311055,0.013124116,0.316109966,0.967131909,-0.010743034
Jeremy Pena HOU,R,0.017176789,-0.012355899,0.058893617,0.142088975,0.050001547,0,9.683000761,0.013471006,0.131542283,0.129491489,0.013260988,0.321638125,0.984409623,-0.005093875
Ryan Jeffers MIN,R,-0.00275009,-0.024253468,0.053424166,0.131570455,0.035751165,-0.010169412,9.683014703,0.013196792,0.131266011,0.133525023,0.013423901,0.332007999,1.017209418,0.005616999
JJ Wetherholt SLN,L,0.015274971,0,0.061329188,0.15109794,0.018750486,0,9.682996705,0.013191648,0.131260245,0.13589778,0.01365772,0.337915422,1.035330843,0.011531422
Rob Refsnyder SEA,R,-0.001898239,-0.010005498,0.055838226,0.139769515,-0.092972385,0,9.683026711,0.012984191,0.131055389,0.128881936,0.012768858,0.320720399,0.983415762,-0.005408601
Xander Bogaerts SDN,R,0.014088353,-0.019702811,0.057325301,0.144843373,0.050000803,0,9.683006925,0.012863098,0.130934336,0.131092575,0.012878644,0.326370955,1.001208536,0.000393955
Eugenio Suarez CIN,R,-0.009200209,0.001287658,0.054241205,0.137477639,-0.083712731,0,9.683000698,0.012822844,0.130892745,0.127233787,0.012464396,0.31681511,0.972046139,-0.00911089
Oneil Cruz PIT,L,0.034032414,-0.002365438,0.05735048,0.146577997,0.014935259,0,9.682989382,0.012716389,0.130786823,0.130449878,0.012683628,0.324954659,0.997423706,-0.000839341
Jung Hoo Lee SFN,L,0.013121823,0.017926807,0.053794481,0.138035585,-0.03850581,0,9.682978504,0.012665996,0.130735905,0.129595234,0.012555485,0.322888997,0.991275,-0.002842003
Yainer Diaz HOU,R,-0.001576763,-0.010268227,0.051308324,0.132492167,0.067094589,-0.035020277,9.683001131,0.012585779,0.130656133,0.126325526,0.012168623,0.314838905,0.966854931,-0.010793095
Chase Meidroth CHA,R,0.009660349,0.01441171,0.057149559,0.14828298,0.02046444,0,9.682996665,0.012525663,0.130595098,0.127632236,0.012241488,0.318169985,0.977312613,-0.007386015
Dominic Canzone SEA,L,4.53E-05,-0.013255613,0.049620377,0.132010776,-0.097783493,0,9.683037458,0.012216391,0.130286064,0.130875492,0.01227166,0.326644117,1.004524106,0.001471117
Nathan Lukes TOR,L,0.004259504,-0.003140496,0.050727273,0.135785124,-0.042066116,0,9.683012612,0.012141394,0.130212392,0.128932067,0.012022012,0.321882632,0.990167412,-0.003196368
Luis Garcia Jr. WAS,L,0.005403097,0.013930245,0.052060066,0.140525575,-0.031689348,0,9.682995533,0.012040335,0.13011029,0.126952093,0.011748078,0.317066318,0.975726774,-0.007887682
Jesus Sanchez TOR,L,0.005672946,-0.006406947,0.048819791,0.13623468,-0.0522197,0,9.682999646,0.011646259,0.129714199,0.128923548,0.011575271,0.32248529,0.993904667,-0.00197771
Maikel Garcia KCA,R,0.023712484,0.023039002,0.051486153,0.146085254,0.017368421,0,9.682989061,0.011454576,0.129524453,0.128664912,0.011378562,0.322075389,0.993363875,-0.002151611
Jake Burger TEX,R,0.001756336,0.013934638,0.047604614,0.13686116,-0.084119727,0,9.683003648,0.011304951,0.129373104,0.1250783,0.01092966,0.31328283,0.966802956,-0.01075717
Nico Hoerner CHN,R,0.024052274,0.027730557,0.046160929,0.134700382,0.017367899,0,9.683009421,0.01113769,0.129207117,0.130598524,0.01125763,0.327320295,1.010768807,0.003487295
Brandon Lowe PIT,L,0.003978851,-0.028872109,0.049609195,0.14617931,0.013247816,0,9.68301875,0.011029467,0.129098939,0.12999327,0.011105873,0.325940412,1.006927482,0.002242412
Willy Adames SFN,R,0.006351619,-0.00490598,0.047935812,0.14254913,0.050000707,0,9.683001396,0.01092902,0.128998218,0.125681903,0.010648055,0.315254515,0.974291783,-0.008318485
Spencer Torkelson DET,R,0.001083963,-0.003650321,0.045483489,0.13708722,-0.085162891,0,9.68302359,0.010783256,0.128851397,0.129214777,0.010813666,0.324304014,1.00282015,0.000912014
Brett Baty NYN,L,0.00292564,0.005404561,0.043278168,0.131659488,-0.053765586,0,9.683030794,0.010683228,0.128752765,0.123745819,0.010267778,0.310698654,0.961111931,-0.012571346
