Full Name,Hand,WAR/GS,ERA,xWAR/GS,SIERA,ERA Change,bpWAR/GS,WAR/IP,Updated WAR/GS,Updated xWAR/GS,Updated WAR/IP,Updated ERA
Ranger Suarez BOS,L,0.106258574,3.5638,0.102979997,3.62,-0.004199981,0.036133332,0.018066666,0.106383801,0.103101361,0.018087958,3.559600019
Sonny Gray BOS,R,0.116858349,3.5686,0.113049998,3.31,0.077800124,0.039666666,0.019833333,0.114310685,0.110585361,0.019400941,3.646400124
Spencer Schwellenbach ATL,R,0.115507547,3.5739,0.11096,3.33,-0.012499915,0.038933333,0.019466667,0.115911541,0.111348089,0.019534752,3.561400085
Edwin Diaz LAN,R,#DIV/0!,3.5779,0.115709996,3.3,0.089599989,0.040599998,0.020299999,#DIV/0!,0.112812314,0.019791634,3.667499989
Jose Soriano LAA,R,0.101556206,3.5901,0.100510003,3.66,-0.125200028,0.035266668,0.017633334,0.105097846,0.104015157,0.018248273,3.464899972
Hunter Brown HOU,R,0.114684859,3.6012,0.109249999,3.4,-0.057799993,0.038333333,0.019166667,0.116525575,0.111003484,0.019474295,3.543400007
Connelly Early BOS,L,0.09174897,3.6219,0.093036665,3.68,0.182899997,0.032644444,0.016322222,0.087115798,0.088338467,0.015497977,3.804799997
Logan Gilbert SEA,R,0.110888203,3.6431,0.110706663,3.2,-0.006099957,0.038844443,0.019422222,0.111073873,0.110892029,0.019454742,3.637000043
Justin Steele CHN,L,0.106474622,3.6578,0.106653337,3.46,-0.010200164,0.037422223,0.018711112,0.106771538,0.106950751,0.01876329,3.647599836
Dylan Cease TOR,R,0.102248217,3.6626,0.100889999,3.48,-0.164999942,0.0354,0.0177,0.106854494,0.105435089,0.018497384,3.497600058
Pablo Lopez MIN,R,0.103762834,3.6849,0.103549997,3.34,-0.015900119,0.036333332,0.018166666,0.104210564,0.103996809,0.018245054,3.668999881
Hunter Greene CIN,R,0.103744852,3.6927,0.10443667,3.22,-0.004900093,0.036644446,0.018322223,0.103882518,0.104575254,0.018346536,3.687799907
Kris Bubic KCA,L,0.09409877,3.693,0.093543331,3.62,-0.071299928,0.032822222,0.016411111,0.095915514,0.095349352,0.016727956,3.621700072
Cade Smith CLE,R,#DIV/0!,3.6956,0.098293337,3.49,0.0465,0.03448889,0.017244445,#DIV/0!,0.097056558,0.017027466,3.7421
Griffin Jax TBA,R,#DIV/0!,3.7005,0.101269997,3.49,0.102000209,0.035533332,0.017766666,#DIV/0!,0.098478601,0.017276948,3.802500209
Joe Ryan MIN,R,0.104561043,3.7291,0.100573337,3.16,-0.030899974,0.03528889,0.017644445,0.105427454,0.101406705,0.01779065,3.698200026
Grayson Rodriguez LAA,R,0.096358025,3.7326,0.09664667,3.5,-0.003099876,0.033911112,0.016955556,0.096438049,0.096726934,0.016969637,3.729500124
Joe Kelly FA,R,#DIV/0!,3.7497,0.091959999,3.79,0.031400124,0.032266666,0.016133333,#DIV/0!,0.091189923,0.015998232,3.781100124
Spencer Strider ATL,R,0.102726939,3.7622,0.100256665,3.31,-0.003000049,0.035177777,0.017588889,0.102808855,0.100336611,0.017602914,3.759199951
MacKenzie Gore TEX,L,0.091066527,3.7648,0.093860003,3.49,-0.072000014,0.032933334,0.016466667,0.092808131,0.095655031,0.016781584,3.692799986
Nick Lodolo CIN,L,0.097000729,3.7672,0.096899998,3.4,-0.052199931,0.033999999,0.017,0.098344812,0.098242686,0.017235559,3.715000069
Jared Jones PIT,R,0.095078567,3.768,0.095696663,3.43,-0.011200245,0.033577777,0.016788888,0.095361184,0.095981118,0.016838793,3.756799755
Drew Rasmussen TBA,R,0.097719302,3.7749,0.100256665,3.57,-0.074999867,0.035177777,0.017588889,0.099660793,0.102248568,0.017938345,3.699900133
Grant Taylor CHA,R,0.091944442,3.776,0.095696663,3.65,-0.115400098,0.033577777,0.016788888,0.094754399,0.098621294,0.017301981,3.660599902
